ALEXANDER ZUID,ROTTERDAM,1,FIETS,SPARTA,ZILVERKLEURIG,ATLAS
KRALINGEN,ROTTERDAM,1,FIETS,BATAVUS,ZWART,BLOCKBUSTER HN3
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,RALEIGH,BLAUW,PRIORITY 7V D53
SPIJKENISSE,SPIJKENISSE,12,FIETS,PUCH,ZWART,0
ALEXANDER ZUID,ROTTERDAM,1,FIETS,GAZELLE,ZILVERKLEURIG,0
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,LIMIT,ZILVERKLEURIG,TOUR TK3 D54 9
MARCONIPLEIN,ROTTERDAM,1,BROMFIETS,GILERA,ONBEKEND,C46
BINNENROTTE/OUDE HAVEN,ROTTERDAM,1,FIETS,ONBEKEND,BRONSKLEURIG,0
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,BROMFIETS,PEUGEOT,ONBEKEND,FOX
ALEXANDER NOORD,ROTTERDAM,1,BROMFIETS,APRILIA,GRIJS,TE
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,GAZELLE,GROEN,CITY BIKE
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,RANGER,ONBEKEND,NULL
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,1,FIETS,GIANT,GRIJS,COSMO CS 3 GTS
STAD,ROTTERDAM,1,FIETS,SPARTA,ZWART,PICK UP
ALEXANDER ZUID,ROTTERDAM,1,BROMFIETS,TOMOS,ZILVERKLEURIG,A3
ALEXANDER ZUID,ROTTERDAM,1,FIETS,ONBEKEND,ZWART,NULL
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,BATAVUS,ZILVERKLEURIG,WEEKEND-T N8 Q.
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE VV
SPIJKENISSE,SPIJKENISSE,1,FIETS,GAZELLE,ONBEKEND,ARTMAP01 TOEGEV
BARENDRECHT,BARENDRECHT,1,BROMFIETS,PIAGGIO,ZWART,C38
SCHIEDAM,SCHIEDAM,1,BROMFIETS,PIAGGIO,ZWART,C38
HOEK VAN HOLLAND,HOEK VAN HOLLAND,1,FIETS,GAZELLE,GROEN,A7018  ?
HELLEVOETSLUIS,HELLEVOETSLUIS,1,SNORFIETS,ONBEKEND,ROOD,ZN50QT-B
SPIJKENISSE,SPIJKENISSE,1,FIETS,MERCURE,BLAUW,0
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE XTRA
VLAARDINGEN,VLAARDINGEN,1,FIETS,GAZELLE,MEERKLEURIG,CHAMONIX
SPIJKENISSE,SPIJKENISSE,1,FIETS,GAZELLE,MEERKLEURIG,MEDEO PLUS D53
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE XTRA
ALEXANDER ZUID,ROTTERDAM,1,FIETS,REDY,WIT,REDY NOSTALGIA
VLAARDINGEN,VLAARDINGEN,1,FIETS,PHOENIX,GRIJS,0
RIDDERKERK,RIDDERKERK,1,FIETS,GAZELLE,GRIJS,CHAMONIX
SCHIEDAM,SCHIEDAM,1,FIETS,RALEIGH,ZWART,101
NW WESTEN/MIDDELLAND,ROTTERDAM,10,FIETS,ONBEKEND,GRIJS,NULL
SPIJKENISSE,SPIJKENISSE,1,FIETS,ELECTRA,CREME,BEACH
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,IMPALA ARTMAP01
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,BATAVUS,ONBEKEND,WEEKEND-D N8 ZI
KRIMPEN,KRIMPEN AAN DEN IJSSEL,1,FIETS,GAZELLE,MEERKLEURIG,CHAMONIX
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,GAZELLE,GROEN,0
CROOSWIJK,ROTTERDAM,1,FIETS,CITY,ZWART,FORMULA
BEM,VONDELINGENPLAAT RT,1,BROMFIETS,PIAGGIO,ZWART,C25
MAASSLUIS,MAASSLUIS,1,SNORFIETS,PEUGEOT,ROOD,FOX
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,12,FIETS,BATAVUS,BLAUW,BARCELONA
BARENDRECHT,BARENDRECHT,1,FIETS,UNION,ZILVERKLEURIG,STRADA
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,CORTINA,WIT,10 ROSES
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,UNION,GROEN,SAVOY
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,FIETS,TREK,ZWART,TREK 7.1 FX
VLAARDINGEN,VLAARDINGEN,1,FIETS,LIMIT,BLAUW,HARVARD D56  08
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,ONBEKEND,ZWART,JAVA FREESTYLE
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,1,FIETS,UNION,ZILVERKLEURIG,STRADA
OVERSCHIE,ROTTERDAM,1,BROMFIETS,PIAGGIO,ROOD,C25
VLAARDINGEN,VLAARDINGEN,1,FIETS,GAZELLE,MEERKLEURIG,PUNTA ARTMAP01
VLAARDINGEN,VLAARDINGEN,1,FIETS,GAZELLE,ONBEKEND,DAVOS VV ARTMAP
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,BATAVUS,GRIJS,WEEKEND H53 N8
RIDDERKERK,RIDDERKERK,1,FIETS,GAZELLE,GROEN,LAGUNA DAMES
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,BROMFIETS,YAMAHA,ZILVERKLEURIG,CS50
RIDDERKERK,RIDDERKERK,1,FIETS,GAZELLE,ORANJE,TROMM.3VERSN.ST
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,BROMFIETS,SYM,ONBEKEND,G5J
ALEXANDER ZUID,ROTTERDAM,1,FIETS,ONBEKEND,ZWART,NULL
SPIJKENISSE,SPIJKENISSE,1,FIETS,GAZELLE,ONBEKEND,ORANGE XTRA ART
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,12,FIETS,ONBEKEND,ROOD,MOUNTAIN BIKE
SPIJKENISSE,SPIJKENISSE,1,BROMFIETS,YAMAHA,ONBEKEND,SA15
ALEXANDER NOORD,ROTTERDAM,1,SCOOTER,YAMAHA,ZWART,AEROX
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,ORANGE VV ARTMA
SCHIEDAM,SCHIEDAM,1,FIETS,SPARTA,ZWART,BLACKLINE
RIDDERKERK,RIDDERKERK,1,FIETS,GAZELLE,BLAUW,DAVOS VV
MARCONIPLEIN,ROTTERDAM,1,FIETS,GAZELLE,BLAUW,NULL
ALEXANDER ZUID,ROTTERDAM,1,FIETS,POINTER,ZILVERKLEURIG,NULL
LANSINGERLAND,BLEISWIJK,1,FIETS,TORNADO,MEERKLEURIG,0
RIDDERKERK,RIDDERKERK,1,FIETS,GAZELLE,BLAUW,ARTMAP01 TOEGEV
HOEK VAN HOLLAND,HOEK VAN HOLLAND,1,FIETS,UNION,BLAUW,SWITCH D53 10
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,BATAVUS,BLAUW,COMMUTER 48 DN7
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,GROEN,OMAFIETS
SPIJKENISSE,SPIJKENISSE,1,FIETS,BATAVUS,WIT,MAMBO-SPIR DN7
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,1,FIETS,PUCH,GRIJS,0
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,GAZELLE,BRUIN,WEET NIET
SCHIEDAM,SCHIEDAM,1,FIETS,GAZELLE,BLAUW,ORANGE
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,GAZELLE,BLAUW,ARTMAP01 TOEGEV
LANSINGERLAND,BLEISWIJK,1,FIETS,ONBEKEND,GRIJS,SPORT
RIDDERKERK,RIDDERKERK,1,FIETS,GAZELLE,GRIJS,ORANGE LIM.ED.
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,BATAVUS,ONBEKEND,BLOCKBUSTER-D N
SCHIEDAM,SCHIEDAM,1,FIETS,MONTEGO,MEERKLEURIG,ACTO
STAD,ROTTERDAM,1,FIETS,LOWLAND,GROEN,NULL
LANSINGERLAND,BERKEL EN RODENRIJS,1,FIETS,GAZELLE,BLAUW,ORANGE XTRA ART
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,1,FIETS,RANGER,MEERKLEURIG,SHIMANO
MAASHAVEN,ROTTERDAM,8,BROMFIETS,PEUGEOT,BLAUW,FOX
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,DELTA,ZWART,OMA BASIC 57 CM
VLAARDINGEN,VLAARDINGEN,1,FIETS,GIANT,ZILVERKLEURIG,CAYUCA
BARENDRECHT,BARENDRECHT,1,NULL,NULL,NULL,NULL
SCHIEDAM,SCHIEDAM,1,FIETS,ALTEC,ZWART,BMX
LANSINGERLAND,BERKEL EN RODENRIJS,1,FIETS,RANGER,ZWART,NULL
BARENDRECHT,BARENDRECHT,1,FIETS,KOGA MIYATA,ONBEKEND,PROMINENCE-MIXE
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,DAMES
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,FIETS,DAHON,ZWART,0
ALEXANDER ZUID,ROTTERDAM,1,FIETS,BATAVUS,BLAUW,GREENPARKS LN8
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,BROMFIETS,GENERIC,ZWART,CRACKER 50
SCHIEDAM,SCHIEDAM,1,FIETS,PUCH,GRIJS,PRESTIGE
MAASHAVEN,ROTTERDAM,1,FIETS,MONTEGO,CREME,STATUS
OUDE WESTEN,ROTTERDAM,1,FIETS,CUBE,WIT,LTD PRO
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,BATAVUS,ZWART,LIVE-TR HN3 VUL
KRIMPEN,KRIMPEN AAN DEN IJSSEL,1,FIETS,AVANCER,ZWART,AUTHENTIC
ALEXANDER NOORD,ROTTERDAM,1,FIETS,BATA,ZILVERKLEURIG,0
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,GAZELLE,BLAUW,CAYO
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,ORANGE PLUS ORA
KRALINGEN,ROTTERDAM,1,FIETS,BABBOE,ZWART,0
HOEK VAN HOLLAND,HOEK VAN HOLLAND,1,FIETS,GAZELLE,ZWART,OPOE FIETS
STAD,ROTTERDAM,1,BROMFIETS,PIAGGIO,ZILVERKLEURIG,C25
CAPELLE,CAPELLE AAN DEN IJSSEL,1,BROMFIETS,PEUGEOT,GRIJS,S1
ALBRANDSWAARD,RHOON,1,FIETS,GAZELLE,ONBEKEND,ARTMAP01 TOEGEV
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,LIMIT,ZWART,OMA
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,MONTREUX L.E.
RIDDERKERK,RIDDERKERK,1,FIETS,BATAVUS,ONBEKEND,RETRO BT3 ZWART
VLAARDINGEN,VLAARDINGEN,1,FIETS,PELIKAAN,ZWART,STADSFIETS MET
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,CADIZ CADIZ
SCHIEDAM,SCHIEDAM,1,#N/A,#N/A,#N/A,#N/A
SCHIEDAM,SCHIEDAM,1,FIETS,GIANT,BLAUW,ENERGY
HOEK VAN HOLLAND,HOEK VAN HOLLAND,1,FIETS,GAZELLE,BRONSKLEURIG,NULL
HOEK VAN HOLLAND,HOEK VAN HOLLAND,1,FIETS,GIANT,ZWART,HYBRIDE
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,12,FIETS,BATAVUS,GROEN,BARCELONA
HOEK VAN HOLLAND,HOEK VAN HOLLAND,1,FIETS,BATAVUS,ONBEKEND,WEEKEND
HELLEVOETSLUIS,HELLEVOETSLUIS,1,FIETS,CUMBERLAND,ZWART,OMAFIETS
BINNENROTTE/OUDE HAVEN,ROTTERDAM,1,FIETS,GIANT,BLAUW,MELBOURNE FS
HELLEVOETSLUIS,HELLEVOETSLUIS,1,BROMFIETS,VESPA,ZWART,SI
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,SPARTA,MEERKLEURIG,0
SCHIEDAM,SCHIEDAM,1,FIETS,BATAVUS,ONBEKEND,0
SPIJKENISSE,SPIJKENISSE,1,FIETS,GAZELLE,MEERKLEURIG,0
VLAARDINGEN,VLAARDINGEN,1,FIETS,RALEIGH,ZWART,YOUNG MRSGRACE
SCHIEDAM,SCHIEDAM,1,FIETS,GAZELLE,ONBEKEND,PARIS PLUS PARI
ALEXANDER ZUID,ROTTERDAM,1,FIETS,GIANT,ZWART,EXPEDITION RS 0
KRIMPEN,KRIMPEN AAN DEN IJSSEL,1,FIETS,BATAVUS,BLAUW,PADOVA BN7 CR.B
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,NULL,NULL,NULL,NULL
BARENDRECHT,BARENDRECHT,1,FIETS,AVENUE,KOPERKLEURIG,LENTO
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,1,FIETS,BATAVUS,ONBEKEND,MAMBO SPIR-D N7
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,MONTEGO,GRIJS,TRADITION
BRIELLE/WESTVOORNE,BRIELLE,1,FIETS,GIANT,MEERKLEURIG,COLDROCK
CROOSWIJK,ROTTERDAM,1,BROMFIETS,YAMAHA,GROEN,YH 50
STAD,ROTTERDAM,1,FIETS,GAZELLE,WIT,CHAMON.INNERGY
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,MONTEGO,WIT,HERRITAGE
VLAARDINGEN,VLAARDINGEN,1,BROMFIETS,YAMAHA,GRIJS,YH50
KRALINGEN,ROTTERDAM,1,FIETS,ONBEKEND,ONBEKEND,OMAFIETS
MARCONIPLEIN,ROTTERDAM,1,BROMFIETS,VESPA,ROOD,0
BARENDRECHT,BARENDRECHT,1,SNORFIETS,PIAGGIO,0,C25
VLAARDINGEN,VLAARDINGEN,1,FIETS,GIANT,GRIJS,0
VLAARDINGEN,VLAARDINGEN,1,FIETS,GAZELLE,BLAUW,MOEDERFIETS
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,ZILVERKLEURIG,ORANGE
ALEXANDER ZUID,ROTTERDAM,1,BROMFIETS,ONBEKEND,ZWART,ZN50QT-F
CAPELLE,CAPELLE AAN DEN IJSSEL,12,FIETS,ONBEKEND,ROZE,0
SCHIEDAM,SCHIEDAM,1,FIETS,RALEIGH,GRIJS,TYPE ELAN
MARCONIPLEIN,ROTTERDAM,1,FIETS,ONBEKEND,GROEN,0
MARCONIPLEIN,ROTTERDAM,1,BROMFIETS,GILERA,ONBEKEND,C46
BINNENROTTE/OUDE HAVEN,ROTTERDAM,1,FIETS,ONBEKEND,ZWART,NULL
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,1,BROMFIETS,TOMOS,BLAUW,A35HDA
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,BATAVUS,ONBEKEND,0
KRALINGEN,ROTTERDAM,1,FIETS,NOSTALGIE,ZWART,OMA
BARENDRECHT,BARENDRECHT,1,SNORFIETS,PUCH,BLAUW,MAXI
MAASSLUIS,MAASSLUIS,1,BROMFIETS,PIAGGIO,ZILVERKLEURIG,C25
SCHIEDAM,SCHIEDAM,1,FIETS,EDWARDS,ZWART,NULL
ALEXANDER NOORD,ROTTERDAM,1,FIETS,GAZELLE,ZILVERKLEURIG,CAYO
MAASSLUIS,MAASSLUIS,1,FIETS,BMX,ZWART,0
SCHIEDAM,SCHIEDAM,1,FIETS,BATAVUS,ONBEKEND,FUTURE BN3 DONK
ALEXANDER ZUID,ROTTERDAM,1,FIETS,UNION,ORANJE,TRENDA
ROZENBURG,ROZENBURG ZH,1,FIETS,GAZELLE,PAARS,NULL
HOEK VAN HOLLAND,HOEK VAN HOLLAND,1,FIETS,BATAVUS,ONBEKEND,0
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,DAHON,ZILVERKLEURIG,HELIOS
KRALINGEN,ROTTERDAM,1,FIETS,ONBEKEND,MEERKLEURIG,DAMESFIETS
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,GAZELLE,MEERKLEURIG,FUENTE
VLAARDINGEN,VLAARDINGEN,1,FIETS,ONBEKEND,ZWART,CLACCICS
ALBRANDSWAARD,RHOON,1,FIETS,SPARTA,ONBEKEND,GRANNY D53 RN
VLAARDINGEN,VLAARDINGEN,1,FIETS,ALTEC,BLAUW,0
VLAARDINGEN,VLAARDINGEN,1,NULL,NULL,NULL,NULL
SPIJKENISSE,GEERVLIET,1,FIETS,ONBEKEND,ROOD,NULL
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,ONBEKEND,BLAUW,NULL
MAASHAVEN,ROTTERDAM,1,BROMFIETS,PIAGGIO,ZWART,C45
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,1,FIETS,MAXWELL,BLAUW,0
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,1,FIETS,GAZELLE,ZWART,DUTY NL
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,ZILVERKLEURIG,CHAMONIX EXCEL
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,POINTER,ZILVERKLEURIG,0
BARENDRECHT,BARENDRECHT,1,FIETS,LIMIT CLASSIC,GRIJS,NULL
VLAARDINGEN,VLAARDINGEN,1,SNORFIETS,SYM,ONBEKEND,HU05W
RIDDERKERK,RIDDERKERK,1,FIETS,GAZELLE,ONBEKEND,MEDEO ALU V-BRA
CROOSWIJK,ROTTERDAM,1,SNORFIETS,PUCH,ZWART,MAXI 25
SCHIEDAM,SCHIEDAM,1,FIETS,SPARTA,BLAUW,M-GEAR
ALEXANDER ZUID,ROTTERDAM,1,FIETS,GIANT,BLAUW,NULL
GOEREE-OVERFLAKKEE,MIDDELHARNIS,1,FIETS,BATAVUS,GROEN,TORINO
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,ONBEKEND,BLAUW,NULL
KRALINGEN,ROTTERDAM,1,FIETS,GAZELLE,ONBEKEND,CHAMONIX PURE C
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,GAZELLE,ONBEKEND,FURORE VV ARTMA
BARENDRECHT,BARENDRECHT,12,FIETS,SPARTA,ONBEKEND,0
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,1,FIETS,UNION,MEERKLEURIG,UNICA D57
VLAARDINGEN,VLAARDINGEN,1,FIETS,ONBEKEND,ROOD,HEXAGON V3
LANSINGERLAND,BERKEL EN RODENRIJS,1,FIETS,SPARTA,ZWART,PAPAZONE
MAASSLUIS,MAASSLUIS,2,BROMFIETS,PEUGEOT,ONBEKEND,VIVACITY
SPIJKENISSE,SPIJKENISSE,1,FIETS,BATAVUS,BLAUW,FUTURE BT3 BISC
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,1,FIETS,ALTRA,ZWART,SPRING TK3
LANSINGERLAND,BERGSCHENHOEK,2,FIETS,SPARTA,WIT,HERO
MAASSLUIS,MAASSLUIS,2,BROMFIETS,ONBEKEND,ZWART,SPEED BREAK
STAD,ROTTERDAM,1,FIETS,GIANT,BRUIN,CENTRO SEASON F
BARENDRECHT,BARENDRECHT,1,FIETS,GAZELLE,BLAUW,IMPALA
NW WESTEN/MIDDELLAND,ROTTERDAM,1,FIETS,GAZELLE,ZILVERKLEURIG,JUST4U
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,1,FIETS,ALTRA,ZWART,DISCOVERY
MAASSLUIS,MAASSLUIS,1,FIETS,GAZELLE,ZILVERKLEURIG,PUERTO
MAASSLUIS,MAASSLUIS,2,BROMFIETS,APRILIA,ORANJE,PK
TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,2,FIETS,BATAVUS,ONBEKEND,WEEKEND-D N8 Q.
CAPELLE,CAPELLE AAN DEN IJSSEL,1,FIETS,SPARTA,ONBEKEND,HERO H59 NX3
SPIJKENISSE,SPIJKENISSE,2,FIETS,SPARTA,ZILVERKLEURIG,HERO ROSE
STAD,ROTTERDAM,1,FIETS,GAZELLE,GROEN,0
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,2,NULL,NULL,NULL,NULL
STAD,ROTTERDAM,2,FIETS,CAPRI,ROOD,DACOTA
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,12,FIETS,ONBEKEND,GEEL,BASIC DELTA
BINNENROTTE/OUDE HAVEN,ROTTERDAM,1,FIETS,GAZELLE,ZILVERKLEURIG,NULL
ALEXANDER NOORD,ROTTERDAM,2,FIETS,BATAVUS,ONBEKEND,BELCANTO HN8 BR
VLAARDINGEN,VLAARDINGEN,1,FIETS,BMX,GOUDKLEURIG,GOLDRUSH
VLAARDINGEN,VLAARDINGEN,2,FIETS,ALTEC,GRIJS,MANTA
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,1,FIETS,HOLLANDIA,BLAUW,BEACH
CAPELLE,CAPELLE AAN DEN IJSSEL,2,BROMFIETS,PUCH,ONBEKEND,0
VLAARDINGEN,VLAARDINGEN,2,BROMFIETS,PIAGGIO,ZWART,C25
MARCONIPLEIN,ROTTERDAM,2,FIETS,GAZELLE,GRIJS,CADIZ CADIZ
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,2,FIETS,BATAVUS,BRUIN,BATO
RIDDERKERK,RIDDERKERK,2,FIETS,ALTEC,ZWART,CLASSIC
ALEXANDER ZUID,ROTTERDAM,2,FIETS,ALTRA,GRIJS,DAMES
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,BROMFIETS,TAURIS,GEEL,CAPRI 50
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,ONBEKEND,ZWART,0
ALEXANDER NOORD,ROTTERDAM,1,FIETS,UNION,BLAUW,NULL
BINNENROTTE/OUDE HAVEN,ROTTERDAM,2,FIETS,MONTEGO,ROOD,HERITAGE
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,GAZELLE,MEERKLEURIG,XANTA ARTMAP01
STAD,ROTTERDAM,1,FIETS,GIANT,BLAUW,NULL
ALEXANDER NOORD,ROTTERDAM,2,BEVESTIGINGSMA,ONBEKEND,ONBEKEND,NULL
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,BATAVUS,ZWART,OLD DUTCH
ALEXANDER NOORD,ROTTERDAM,2,FIETS,GAZELLE,ZILVERKLEURIG,CHAMONIX
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,GAZELLE,GOUDKLEURIG,0
BINNENROTTE/OUDE HAVEN,ROTTERDAM,2,FIETS,GAZELLE,BLAUW,BAHIA
RIDDERKERK,RIDDERKERK,1,FIETS,OLYMPIC,GROEN,DAMES FIETS
CROOSWIJK,ROTTERDAM,2,FIETS,BATAVUS,BLAUW,BEST BREAKS EN7
ALEXANDER NOORD,ROTTERDAM,2,SNORFIETS,ONBEKEND,ZWART,BT49QT-9R1
SPIJKENISSE,SPIJKENISSE,2,BROMFIETS,PIAGGIO,ZWART,C25
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,SELECT,GRIJS,0
NW WESTEN/MIDDELLAND,ROTTERDAM,2,FIETS,GIANT,GRIJS,0
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,0,0,0
SCHIEDAM,SCHIEDAM,2,SNORFIETS,TOMOS,BLAUW,A3
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,2,FIETS,GAZELLE,BRONSKLEURIG,FURORE
MARCONIPLEIN,ROTTERDAM,2,FIETS,CLEVELAND,BLAUW,DAMESFIETS
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,2,FIETS,TREK,PAARS,ROME
MARCONIPLEIN,ROTTERDAM,1,FIETS,LOCOMOTIEF,ROZE,NULL
MARCONIPLEIN,ROTTERDAM,2,FIETS,GAZELLE,ORANJE,ORANGE PLUS ORA
VLAARDINGEN,VLAARDINGEN,1,FIETS,CUMBERLAND,ZWART,CLAS DELUXE D 2
RIDDERKERK,RIDDERKERK,2,FIETS,GAZELLE,BLAUW,PLAYAVV
OVERSCHIE,ROTTERDAM,12,BROMFIETS,VESPA,BLAUW,NULL
MARCONIPLEIN,ROTTERDAM,2,FIETS,BSP,MEERKLEURIG,DAMES
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,2,SNORFIETS,PIAGGIO,ZWART,C38
SCHIEDAM,SCHIEDAM,2,FIETS,GIANT,GRIJS,0
ALEXANDER ZUID,ROTTERDAM,2,FIETS,MATRA,ZILVERKLEURIG,NULL
CAPELLE,CAPELLE AAN DEN IJSSEL,2,BROMFIETS,PUCH,GROEN,0
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,2,FIETS,GIANT,BLAUW,0
WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,2,FIETS,SPARTA,GROEN,LEOPARD
LANSINGERLAND,BERKEL EN RODENRIJS,2,SNORFIETS,TOMOS,ROOD,A35-HDA
SCHIEBROEK/HILLEGERSBERG,ROTTERDAM,2,BROMFIETS,PIAGGIO,ZWART,C38
ALEXANDER ZUID,ROTTERDAM,2,BRIL,0,BLAUW,DUIKBRIL
SCHIEDAM,SCHIEDAM,2,FIETS,BATAVUS,GROEN,NULL
GOEREE-OVERFLAKKEE,MIDDELHARNIS,2,FIETS,BATAVUS,GRIJS,0
SCHIEDAM,SCHIEDAM,2,FIETS,GAZELLE,ONBEKEND,ORANGE LIMITED
HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,2,FIETS,ALTRA,ONBEKEND,AL UNIV.CL D58
HELLEVOETSLUIS,HELLEVOETSLUIS,2,FIETS,BATAVUS,GRIJS,ENTRADA DN7 ZWA
CAPELLE,CAPELLE AAN DEN IJSSEL,2,FIETS,GAZELLE,ONBEKEND,ORANGE PLUS VV
BLOEMHOF/HILLESLUIS/VREEWIJK,ROTTERDAM,2,FIETS,SPARTA,ONBEKEND,MARATHON 8.0 D5
BEVERWAARD/LOMBARDIJEN/GRIJS,ROTTERDAM,2,FIETS,GAZELLE,GRIJS,PUNTA
SCHEEPVAARTKWARTIER/COOL,ROTTERDAM,1,FIETS,GIANT,GRIJS,BRISBANE
SCHIEDAM,SCHIEDAM,1,FIETS,GAZELLE,BLAUW,TRENDY
SPIJKENISSE,SPIJKENISSE,2,FIETS,GAZELLE,ONBEKEND,DAVOS VV ARTMAP
SCHIEDAM,SCHIEDAM,2,BROMFIETS,ONBEKEND,ZWART,JET 50/RED DEVI
